id,device_id,predicate_id
294,K011670,K933156
295,K011670,K010463
296,K011670,K002478
297,K011670,K933285
298,K011670,K974792
299,K011672,K961249
300,K011673,K945610
301,K011675,K993493
302,K011676,K962313
303,K011676,K981672
304,K011676,K962692
305,K011676,K864413
306,K011679,K983473
307,K011683,K930193
308,K011683,K981410
309,K011684,K993048
310,K011685,K960464
311,K011685,K991711
312,K011690,K853912
313,K011690,K003206
314,K011693,K984611
315,K011694,K942346
316,K011695,K960724
317,K011698,K955369
318,K011698,K946165
319,K011698,K960914
320,K011702,K970203
321,K011702,K924666
322,K011702,K950314
323,K011702,K951903
324,K011702,K982410
325,K011702,K915540
326,K011702,K982902
327,K011702,K973442
328,K011703,K002308
329,K011703,K990947
330,K011703,K984591
331,K011703,K951910
332,K011711,K993886
333,K011714,K000994
334,K011715,K010529
335,K011716,K964226
336,K011716,K991962
337,K011716,K895117
338,K011716,K991482
339,K011719,K993874
340,K011719,K994146
341,K011722,K973384
342,K011722,K003050
343,K011722,K970496
344,K011722,K992931
345,K011722,K945975
346,K011722,K993944
347,K011722,K993965
348,K011722,K010112
349,K011722,K950286
350,K011722,K000501
351,K011722,K974320
352,K011722,K991517
353,K011722,K963930
354,K011723,K971450
355,K011723,K981677
356,K011729,K011124
357,K011729,K903966
358,K011729,K961582
359,K011730,K961266
360,K011736,K991398
361,K011740,K983607
362,K011747,K994225
363,K011747,K973324
364,K011748,K992097
365,K011756,K994056
366,K011759,K942677
367,K011761,K940079
368,K011761,K002507
369,K011761,K993933
370,K011763,K934303
371,K011763,K961400
372,K011763,K945321
373,K011768,K896817
374,K011773,P840008
375,K011773,K002929
376,K011775,K990683
377,K011775,K003776
378,K011775,K992721
379,K011775,K991077
380,K011781,K002916
381,K011783,K920823
382,K011783,K925439
383,K011784,K001120
384,K011786,K912563
385,K011788,K003333
386,K011794,K972157
387,K011795,K971938
388,K011795,K980665
389,K011796,K974723
390,K011796,P860023
391,K011797,K001100
392,K011797,K010164
393,K011799,K003334
394,K011800,K912601
395,K011800,K860366
396,K011804,K943917
397,K011806,K003040
398,K011810,K896048
399,K011811,K943597
400,K011811,K973230
401,K011816,K001816
402,K011816,K000349
403,K011817,K000744
404,K011817,K992569
405,K011818,K912783
406,K011818,K912282
407,K011818,K010019
408,K011818,K850107
409,K011821,K962823
410,K011821,K990776
411,K011821,K963420
412,K011821,K993762
413,K011823,K960508
414,K011823,K935853
415,K011823,K854277
416,K011824,K991773
417,K011824,K000854
418,K011824,K993516
419,K011824,K001436
420,K011826,K854196
421,K011827,K962377
422,K011827,K832494
423,K011832,K983471
424,K011833,K980924
425,K011833,K002849
426,K011834,K002837
427,K011835,K852698
428,K011836,K001942
429,K011836,K003274
430,K011836,K990261
431,K011836,K932481
432,K011836,K930963
433,K011836,K994126
434,K011836,K936214
435,K011837,K001025
436,K011838,K991864
437,K011840,K870550
438,K011840,K760170
439,K011842,K993177
440,K011843,K933397
441,K011844,K960309
442,K011844,K904087
443,K011844,K955549
444,K011847,K991060
445,K011851,K000126
446,K011853,K990610
447,K011854,K960464
448,K011854,K991711
449,K011855,K991385
450,K011856,K010348
451,K011858,K911868
452,K011859,K001546
453,K011863,K973080
454,K011863,K935994
455,K011864,K971105
456,K011864,K973760
457,K011866,K960389
458,K011866,K950957
459,K011866,K930748
460,K011867,K923633
461,K011868,K945964
462,K011869,K921707
463,K011869,K981543
464,K011869,K002231
465,K011873,P840008
466,K011873,P870018
467,K011874,K003665
468,K011875,K983121
469,K011875,K993910
470,K011875,K982931
471,K011878,K951290
472,K011879,K993595
473,K011880,K940301
474,K011881,K002143
475,K011886,K971660
476,K011886,K982323
477,K011886,K944610
478,K011886,K001203
479,K011886,K982610
480,K011888,K984441
481,K011889,K972744
482,K011893,K961103
483,K011893,K001089
484,K011899,K951486
485,K011899,K974285
486,K011901,K993533
487,K011901,K010214
488,K011903,K942852
489,K011903,K001369
490,K011905,K832030
491,K011907,K904690
492,K011909,K973008
493,K011912,K983818
494,K011916,K925819
495,K011917,K950611
496,K011917,K961007
497,K011918,K001693
498,K011925,K923127
499,K011929,K983406
500,K011933,K011934
501,K011941,K990530
502,K011941,K992221
503,K011943,K920118
504,K011944,K000380
505,K011945,K002025
506,K011946,K991477
507,K011946,K002271
508,K011946,K962233
509,K011946,K950595
510,K011948,K000197
511,K011950,K010991
512,K011951,K872233
513,K011957,K981668
514,K011958,K991385
515,K011964,K971407
516,K011964,K990778
517,K011965,K965229
518,K011967,K003245
519,K011967,K953120
520,K011968,K970376
521,K011970,K903015
522,K011970,K781939
523,K011970,K974046
524,K011970,K844032
525,K011970,K972041
526,K011976,K954208
527,K011976,K936079
528,K011976,K933610
529,K011976,K933494
530,K011976,K932776
531,K011976,K935726
532,K011976,K932690
533,K011978,K002361
534,K011983,K990778
535,K011984,K921636
536,K011984,K931367
537,K011984,K965202
538,K011984,K980414
539,K011985,K982963
540,K011985,K993115
541,K011986,K981381
542,K011986,K881897
543,K011988,K993834
544,K011988,K980668
545,K011992,K003776
546,K011993,K945936
547,K011999,K003998
548,K012000,K993074
549,K012001,K003077
550,K012001,K952471
551,K012001,K992947
552,K012001,K974876
553,K012002,K001435
554,K012003,K001936
555,K012004,K790187
556,K012004,K963813
557,K012004,K925984
558,K012005,K010912
559,K012006,K003344
560,K012006,K862628
561,K012008,K010744
562,K012009,K982060
563,K012009,K010817
564,K012010,K964414
565,K012012,K963725
566,K012014,K992684
567,K012016,K983632
568,K012016,K010640
569,K012016,K990563
570,K012016,K970368
571,K012016,K965062
572,K012016,K970348
573,K012017,K992762
574,K012017,K982821
575,K012018,K932626
576,K012018,K803214
577,K012019,K992903
578,K012020,K001369
579,K012023,K881687
580,K012023,K790187
581,K012023,K963813
582,K012023,K900903
583,K012024,K953406
584,K012026,K010348
585,K012027,K984251
586,K012029,K813046
587,K012029,K813049
588,K012029,K813060
589,K012029,K813048
590,K012031,K770232
591,K012031,K984640
592,K012031,K973741
593,K012033,K884306
594,K012033,K003126
595,K012033,K992760
596,K012034,K960359
597,K012034,K974303
598,K012040,K000196
599,K012040,K973126
600,K012043,K972075
601,K012050,K983055
602,K012052,K792007
603,K012052,K792005
604,K012052,K951258
605,K012052,K980778
606,K012052,K902783
607,K012052,K992465
608,K012052,K900676
609,K012052,K974739
610,K012055,K944327
611,K012055,K962106
612,K012056,K003159
613,K012056,K992755
614,K012056,K001258
615,K012059,K944860
616,K012060,K953919
617,K012062,K993649
618,K012066,K003040
619,K012069,K843924
620,K012069,K963208
621,K012073,K012703
622,K012073,K931154
623,K012074,K911448
624,K012075,K913787
625,K012075,K923166
626,K012077,K885300
627,K012078,K983881
628,K012079,K973883
629,K012079,K780045
630,K012080,K900805
631,K012080,K941652
632,K012080,K983879
633,K012080,K003739
634,K012080,K992663
635,K012080,K963616
636,K012080,K011315
637,K012082,K982394
638,K012083,K895580
639,K012083,K950490
640,K012083,K950179
641,K012083,K003731
642,K012083,K990707
643,K012083,K963320
644,K012083,K965167
645,K012084,K980308
646,K012085,K915856
647,K012086,K994329
648,K012086,K972903
649,K012087,K992755
650,K012087,K001258
651,K012090,K001258
652,K012090,K991028
653,K012091,K012049
654,K012093,K000474
655,K012093,K982862
656,K012093,K955092
657,K012097,K992654
658,K012097,K970064
659,K012099,K000923
660,K012103,K013103
661,K012103,K940240
662,K012105,K980065
663,K012105,K944025
664,K012105,K990761
665,K012106,K980169
666,K012106,K990241
667,K012109,K983159
668,K012110,K010496
669,K012113,K813526
670,K012113,K841289
671,K012115,K896454
672,K012115,K990206
673,K012117,K881773
674,K012117,K893142
675,K012117,K870252
676,K012117,K962629
677,K012118,K881773
678,K012118,K893139
679,K012118,K870252
680,K012119,K893142
681,K012120,K924493
682,K012120,K863751
683,K012120,K932458
684,K012122,K893142
685,K012123,K991351
686,K012124,K000541
687,K012126,K953423
688,K012127,K983211
689,K012127,K992013
690,K012129,K982176
691,K012129,K001588
692,K012129,K001986
693,K012130,K950490
694,K012130,K950179
695,K012130,K003731
696,K012130,K990707
697,K012130,K965167
698,K012132,K994320
699,K012132,K990757
700,K012136,K990168
701,K012139,K913995
702,K012139,K962424
703,K012143,K831591
704,K012143,K834039
705,K012143,K834352
706,K012144,K964342
707,K012144,K974752
708,K012144,K935137
709,K012144,K922627
710,K012145,K993417
711,K012145,K951256
712,K012145,K991139
713,K012147,K862489
714,K012147,K954735
715,K012150,K933104
716,K012150,K923945
717,K012154,K003561
718,K012155,K980213
719,K012156,K931808
720,K012157,K974083
721,K012159,K012154
722,K012159,K002447
723,K012161,K983121
724,K012161,K960385
725,K012164,K992325
726,K012165,K980296
727,K012166,K992170
728,K012166,K915086
729,K012167,K990157
730,K012167,K922535
731,K012169,K001992
732,K012170,K983267
733,K012170,K934949
734,K012172,K915512
735,K012172,K932070
736,K012173,K980288
737,K012175,K001024
738,K012183,K922737
739,K012184,K971883
740,K012184,K994239
741,K012184,K974885
742,K012186,K964142
743,K012190,K982953
744,K012190,K003797
745,K012190,K971135
746,K012191,K010883
747,K012191,K992505
748,K012191,K991805
749,K012193,K994143
750,K012193,K863354
751,K012193,K961392
752,K012193,K961433
753,K012193,K900263
754,K012193,K965178
755,K012194,K974080
756,K012194,K940214
757,K012197,K993533
758,K012199,K992539
759,K012199,K003063
760,K012200,K980114
761,K012200,K962061
762,K012202,K003192
763,K012202,K971684
764,K012202,K993731
765,K012202,K970852
766,K012206,K002230
767,K012206,K983102
768,K012206,K962115
769,K012206,K952417
770,K012206,K001034
771,K012208,K894203
772,K012209,K962981
773,K012211,K982862
774,K012213,K983242
775,K012214,K981299
776,K012214,K803311
777,K012216,K003929
778,K012219,K944311
779,K012219,K890443
780,K012219,K905433
781,K012221,K903015
782,K012221,K781939
783,K012221,K974046
784,K012221,K844032
785,K012221,K972041
786,K012223,K010945
787,K012223,K612223
788,K012223,K963725
789,K012225,K973298
790,K012225,K822806
791,K012225,K900677
792,K012226,K970879
793,K012227,K010464
794,K012227,K980904
795,K012230,K960648
796,K012231,K910303
797,K012233,K983722
798,K012238,K964746
799,K012239,K011252
800,K012239,K981434
801,K012239,K011262
802,K012241,K000882
803,K012241,K982803
804,K012241,K003576
805,K012241,K003707
806,K012242,K971313
807,K012242,K962081
808,K012251,K954208
809,K012251,K933610
810,K012252,K981207
811,K012253,K972465
812,K012253,K009793
813,K012253,K983879
814,K012253,K985879
815,K012253,K003739
816,K012254,K003155
817,K012255,K003718
818,K012256,K974617
819,K012268,K922753
820,K012270,K972233
821,K012273,K992784
822,K012273,K954696
823,K012273,K000009
824,K012274,K902288
825,K012274,K973486
826,K012275,K971543
827,K012277,K002329
828,K012278,K990345
829,K012279,K971565
830,K012279,K993055
831,K012279,K893055
832,K012281,K981837
833,K012281,K011053
834,K012286,K963213
835,K012287,K974733
836,K012289,K981790
837,K012290,K993654
838,K012293,K984177
839,K012293,K982818
840,K012294,K984498
841,K012299,K001259
842,K012300,K991079
843,K012301,K914833
844,K012304,K961857
845,K012305,K974435
846,K012306,K884046
847,K012307,K982201
848,K012307,K964000
849,K012307,K872510
850,K012307,K932826
851,K012311,K935376
852,K012312,K941614
853,K012313,K972399
854,K012313,K913770
855,K012313,K954355
856,K012314,K994365
857,K012316,K940513
858,K012316,K960464
859,K012316,K931309
860,K012316,K940030
861,K012316,K922249
862,K012316,K943596
863,K012316,K946100
864,K012316,K924151
865,K012317,K994160
866,K012323,K992530
867,K012324,K002134
868,K012324,K992684
869,K012324,K001427
870,K012324,K001993
871,K012325,K941921
872,K012327,K003762
873,K012327,K973959
874,K012329,K012324
875,K012330,K003283
876,K012330,K974163
877,K012333,K964055
878,K012333,K944760
879,K012333,K850494
880,K012334,K955768
881,K012334,K993453
882,K012335,K922481
883,K012336,K961138
884,K012336,K982104
885,K012337,K991385
886,K012341,K892456
887,K012342,K010277
888,K012342,K942442
889,K012347,K003040
890,K012349,K992636
891,K012352,K894949
892,K012354,K003221
893,K012354,K945370
894,K012357,K964703
895,K012359,K951595
896,K012361,K951595
897,K012361,K591595
898,K012364,K953694
899,K012364,K003800
900,K012369,K872517
901,K012369,K973644
902,K012369,K973562
903,K012370,K934646
904,K012370,K984447
905,K012373,K980722
906,K012374,K896750
907,K012377,K012399
908,K012377,K992119
909,K012377,K012374
910,K012378,K955767
911,K012379,K992547
912,K012379,K973712
913,K012383,K010924
914,K012383,K883993
915,K012383,K931549
916,K012383,K921370
917,K012383,K933144
918,K012383,K961486
919,K012383,K933545
920,K012383,K002211
921,K012384,K994149
922,K012384,K936039
923,K012385,K980169
924,K012387,K980978
925,K012389,K992066
926,K012391,K863703
927,K012391,K980325
928,K012393,K951595
929,K012394,K864199
930,K012394,K011050
931,K012395,K980325
932,K012395,K915228
933,K012396,K000096
934,K012396,K973784
935,K012397,K934042
936,K012398,K974521
937,K012399,K003409
938,K012403,K932900
939,K012403,K944567
940,K012403,K781357
941,K012403,K961166
942,K012403,K955853
943,K012403,K881632
944,K012403,K942664
945,K012406,K963759
946,K012409,K000154
947,K012409,K842287
948,K012410,K984268
949,K012410,K940082
950,K012413,K002207
951,K012414,K911139
952,K012416,K972953
953,K012416,K971953
954,K012424,K984111
955,K012425,K003170
956,K012425,K984046
957,K012428,K983393
958,K012428,K955854
959,K012429,K991979
960,K012430,K925479
961,K012431,K972868
962,K012431,K913133
963,K012432,K943165
964,K012435,K012475
965,K012436,K974089
966,K012437,K962103
967,K012438,K933030
968,K012439,K955237
969,K012440,K974486
970,K012442,K990040
971,K012445,K951531
972,K012446,K972848
973,K012446,K954280
974,K012446,K000859
975,K012446,K942545
976,K012448,K003689
977,K012448,K983831
978,K012451,K991823
979,K012451,K945071
980,K012451,K951246
981,K012453,K943589
982,K012453,K954717
983,K012453,K990524
984,K012456,K990524
985,K012456,K994175
986,K012456,K954717
987,K012456,K943569
988,K012457,K994175
989,K012457,K943541
990,K012457,K993851
991,K012457,K954717
992,K012457,K990524
993,K012461,K970368
994,K012461,K010640
995,K012462,K003718
996,K012462,K990345
997,K012464,K991383
998,K012464,K982266
999,K012464,K993564
1000,K012464,K990430
1001,K012466,K923043
1002,K012467,K993757
1003,K012469,K943806
1004,K012469,K982497
1005,K012469,K993339
1006,K012475,K945540
1007,K012478,K973292
1008,K012478,K936081
1009,K012478,K011478
1010,K012478,K001154
1011,K012478,K982071
1012,K012478,K001387
1013,K012478,K940918
1014,K012478,K894914
1015,K012482,K012462
1016,K012486,K972913
1017,K012486,K993061
1018,K012486,K974554
1019,K012487,K002742
1020,K012488,K981041
1021,K012488,K984018
1022,K012489,K002054
1023,K012490,K963037
1024,K012491,K001210
1025,K012492,K981730
1026,K012493,K961304
1027,K012497,K993965
1028,K012503,K943808
1029,K012510,K001283
1030,K012511,K980585
1031,K012511,K991994
1032,K012511,K970339
1033,K012511,K962031
1034,K012512,K904404
1035,K012512,K894980
1036,K012512,K873745
1037,K012512,K010338
1038,K012512,K003724
1039,K012512,K924642
1040,K012512,K811742
1041,K012513,K002460
1042,K012517,K994172
1043,K012519,K981361
1044,K012519,K990947
1045,K012519,K001302
1046,K012520,K953663
1047,K012520,K953768
1048,K012520,K955847
1049,K012521,K991762
1050,K012521,K854852
1051,K012523,K981642
1052,K012523,K912213
1053,K012523,K953768
1054,K012526,K862491
1055,K012526,K771204
1056,K012530,K852639
1057,K012530,K896171
1058,K012530,K841599
1059,K012531,K935477
1060,K012532,K002131
1061,K012532,K972082
1062,K012532,K982731
1063,K012535,K984211
1064,K012535,K000414
1065,K012536,K971059
1066,K012536,K970511
1067,K012536,K953695
1068,K012538,K800178
1069,K012538,K973760
1070,K012539,K961940
1071,K012539,K954108
1072,K012543,K990354
1073,K012544,K003173
1074,K012546,K001201
1075,K012551,K984290
1076,K012551,K991915
1077,K012553,K962655
1078,K012554,K010263
1079,K012554,K993433
1080,K012554,K974879
1081,K012556,K922302
1082,K012556,K964955
1083,K012560,K953752
1084,K012561,K964310
1085,K012561,K962919
1086,K012561,BK930027
1087,K012561,P010021
1088,K012562,K981994
1089,K012563,K002519
1090,K012563,K612963
1091,K012564,K983831
1092,K012568,K912573
1093,K012569,K990290
1094,K012571,K930352
1095,K012571,K941897
1096,K012572,K931519
1097,K012572,K973775
1098,K012572,K953877
1099,K012573,K994314
1100,K012574,K915280
1101,K012575,K970464
1102,K012575,K983793
1103,K012578,K925860
1104,K012578,K922608
1105,K012579,K914229
1106,K012579,K012599
1107,K012579,K943102
1108,K012579,K981103
1109,K012581,K970121
1110,K012581,K851965
1111,K012584,K945497
1112,K012587,K012581
1113,K012590,K971448
1114,K012590,K012056
1115,K012590,K012090
1116,K012593,K984303
1117,K012595,K991080
1118,K012597,K781357
1119,K012597,K910188
1120,K012597,K951683
1121,K012598,K984240
1122,K012598,K945975
1123,K012605,K982375
1124,K012605,K963332
1125,K012605,K973195
1126,K012611,K953695
1127,K012611,K771218
1128,K012611,K904284
1129,K012611,K953096
1130,K012611,K934229
1131,K012611,K971253
1132,K012611,K820367
1133,K012611,K833587
1134,K012611,K900070
1135,K012613,K971059
1136,K012613,K940515
1137,K012613,K981636
1138,K012613,K981269
1139,K012623,K012634
1140,K012623,K010344
1141,K012623,K963618
1142,K012623,K914558
1143,K012623,K961350
1144,K012623,K973017
1145,K012623,K000682
1146,K012624,K833587
1147,K012625,K934784
1148,K012625,K984240
1149,K012625,K930933
1150,K012626,K002036
1151,K012629,K003843
1152,K012630,K981269
1153,K012630,K971059
1154,K012630,K981636
1155,K012630,K940515
1156,K012630,K990524
1157,K012631,K955531
1158,K012631,K963123
1159,K012631,K981870
1160,K012631,K000228
1161,K012631,K992180
1162,K012631,K000044
1163,K012631,K971532
1164,K012631,K964849
1165,K012631,K000511
1166,K012631,K000036
1167,K012631,K943450
1168,K012631,K000074
1169,K012631,K001936
1170,K012631,K973478
1171,K012631,K992581
1172,K012631,K001302
1173,K012631,K000936
1174,K012631,K962445
1175,K012631,K992406
1176,K012631,K974022
1177,K012631,K992972
1178,K012631,K963783
1179,K012631,K960169
1180,K012632,K890014
1181,K012633,K915460
1182,K012633,K012638
1183,K012633,K010263
1184,K012634,K012645
1185,K012634,K970713
1186,K012634,K870961
1187,K012634,K962808
1188,K012635,K982375
1189,K012635,K963332
1190,K012635,K973195
1191,K012640,K974022
1192,K012640,K962321
1193,K012641,K993613
1194,K012641,K963925
1195,K012641,K993816
1196,K012645,K970290
1197,K012645,K953406
1198,K012645,K012623
1199,K012645,K951357
1200,K012645,K010437
1201,K012646,K771203
1202,K012647,K964235
1203,K012648,K012623
1204,K012648,K802722
1205,K012648,K930836
1206,K012648,K971755
1207,K012652,K953695
1208,K012652,K771218
1209,K012652,K904284
1210,K012652,K953096
1211,K012652,K934229
1212,K012652,K971253
1213,K012652,K820367
1214,K012652,K833587
1215,K012652,K900070
1216,K012653,K994095
1217,K012655,K890939
1218,K012655,K011335
1219,K012655,K942340
1220,K012655,K011334
1221,K012656,K980556
1222,K012663,K010304
1223,K012677,K863784
1224,K012678,K981642
1225,K012678,K912213
1226,K012678,K953768
1227,K012679,K002422
1228,K012679,K974022
1229,K012679,K991140
1230,K012679,K992581
1231,K012682,K840590
1232,K012684,K000348
1233,K012685,K961702
1234,K012691,K863155
1235,K012691,K863154
1236,K012694,K953695
1237,K012698,K014698
1238,K012701,K830749
1239,K012703,K871637
1240,K012704,K001913
1241,K012705,K882006
1242,K012706,K991823
1243,K012707,K982164
1244,K012708,K971265
1245,K012708,K904080
1246,K012708,P960016
1247,K012708,K912213
1248,K012708,P950005
1249,K012708,K992965
1250,K012708,K921872
1251,K012708,K891908
1252,K012708,K002333
1253,K012716,K002045
1254,K012718,K993008
1255,K012718,K964770
1256,K012720,K944719
1257,K012722,K990858
1258,K012724,K973139
1259,K012724,K963184
1260,K012724,K971850
1261,K012728,K945155
1262,K012728,K001894
1263,K012729,K001914
1264,K012730,K900690
1265,K012733,K913405
1266,K012733,K951813
1267,K012734,K943167
1268,K012735,K980232
1269,K012736,K951254
1270,K012736,K911037
1271,K012738,K003286
1272,K012740,K943168
1273,K012741,K893682
1274,K012742,K965091
1275,K012743,K910421
1276,K012743,K954501
1277,K012743,K973760
1278,K012746,K981428
1279,K012747,K973760
1280,K012747,K830858
1281,K012749,K961280
1282,K012749,K971034
1283,K012750,K974597
1284,K012751,K003339
1285,K012751,K000122
1286,K012751,K994337
1287,K012751,K990131
1288,K012751,K974399
1289,K012751,K980817
1290,K012752,K000308
1291,K012753,K992026
1292,K012757,K003271
1293,K012757,K990342
1294,K012759,K963903
1295,K012763,K981613
1296,K012763,K012163
1297,K012768,K925604
1298,K012768,K862301
1299,K012770,K980882
1300,K012770,K913489
1301,K012770,K946306
1302,K012770,K962291
1303,K012770,K972714
1304,K012770,K955059
1305,K012772,K000030
1306,K012773,K994308
1307,K012773,K003928
1308,K012775,K001681
1309,K012776,K973164
1310,K012777,K992790
1311,K012779,K982862
1312,K012779,K992654
1313,K012791,K923193
1314,K012792,K923193
1315,K012796,K001182
1316,K012799,K944602
1317,K012799,K001253
1318,K012799,K790187
1319,K012799,K001407
1320,K012800,K955778
1321,K012801,K982481
1322,K012801,K000237
1323,K012803,K910956
1324,K012804,K001167
1325,K012804,K964992
1326,K012805,K920719
1327,K012807,K923811
1328,K012809,K890841
1329,K012809,K003277
1330,K012809,K913802
1331,K012811,K990847
1332,K012812,K924607
1333,K012814,K850785
1334,K012814,K011168
1335,K012814,K002098
1336,K012819,K981096
1337,K012821,K992954
1338,K012821,K940373
1339,K012822,K993232
1340,K012823,K972997
1341,K012823,K012722
1342,K012823,K952273
1343,K012824,K002337
1344,K012825,K950944
1345,K012826,K952122
1346,K012827,K911541
1347,K012830,K001167
1348,K012830,K012330
1349,K012831,K891600
1350,K012832,K002409
1351,K012832,K012332
1352,K012832,K973741
1353,K012832,K950038
1354,K012833,K991859
1355,K012833,K990144
1356,K012835,K955973
1357,K012836,K000300
1358,K012837,K992323
1359,K012837,K974747
1360,K012839,K911542
1361,K012843,K911539
