id,review_panel,medical_specialty,device_name,device_class,unclassified_reason_code,gmp_exempt_flag,third_party_review_eligible,third_party_review_code,regulation_number,submission_type,implant_flag,life_sustain_support_flag,summary_malfunction_reporting
BZM,AN,AN,"Calculator, Pulmonary Function Interpretor (Diagnostic)",2,,0,1,,868.19,510(K),0,0,1
BZN,AN,AN,"Cart, Emergency, Cardiopulmonary (Excluding Equipment)",1,,1,0,,868.6175,510(K) Exempt,0,0,1
BZO,AN,AN,"Set, Tubing And Support, Ventilator (W Harness)",1,,0,0,,868.5975,510(K) Exempt,0,0,1
BZQ,AN,AN,"Monitor, Breathing Frequency",2,,0,1,,868.2375,510(K),0,0,1
BZR,AN,AN,"Mixer, Breathing Gases, Anesthesia Inhalation",2,,0,1,,868.533,510(K),0,1,1
BZS,AN,AN,Stethoscope Head,1,,0,0,,868.193,510(K) Exempt,0,0,1
BZT,AN,AN,"Stethoscope, Esophageal, With Electrical Conductors",2,,0,1,,868.192,510(K),0,0,1
BZW,AN,AN,"Stethoscope, Esophageal",1,,0,0,,868.191,510(K) Exempt,0,0,1
CAC,CV,AN,"Apparatus, Autotransfusion",2,,0,0,,868.583,510(K),0,1,1
CAD,AN,AN,"Vaporizer, Anesthesia, Non-Heated",2,,0,1,,868.588,510(K),0,0,1
CAE,AN,AN,"Airway, Oropharyngeal, Anesthesiology",1,,0,0,,868.511,510(K) Exempt,0,0,1
CAF,AN,AN,Nebulizer (Direct Patient Interface),2,,0,0,,868.563,510(K),0,0,1
CAG,AN,AN,"Circulator, Breathing-Circuit",2,,0,0,,868.525,510(K),0,1,1
CAH,HO,AN,"Filter, Bacterial, Breathing-Circuit",2,,0,1,,868.526,510(K),0,0,1
CAI,AN,AN,"Circuit, Breathing (W Connector, Adaptor, Y Piece)",1,,0,0,,868.524,510(K) Exempt,0,0,1
CAK,HO,HO,"Microfilter, Blood Transfusion",2,,0,0,,880.544,510(K),0,0,1
CAL,AN,AN,"Laryngoscope, Non-Rigid",1,,0,0,,868.553,510(K) Exempt,0,0,1
CAM,AN,AN,"Yoke Assembly, Medical Gas",1,,0,0,,868.6885,510(K) Exempt,0,0,1
CAN,AN,AN,"Regulator, Pressure, Gas Cylinder",1,,0,0,,868.27,510(K) Exempt,0,0,1
CAO,AN,AN,"Airway, Esophageal (Obturator)",2,,0,0,,868.565,510(K),0,1,1
CAP,AN,AN,"Monitor, Airway Pressure (Includes Gauge And/Or Alarm)",2,,0,1,,868.26,510(K),0,0,1
CAR,HO,HO,"Monitor, Spinal-Fluid Pressure, Electrically Powered",2,,0,1,,880.246,510(K),0,0,1
CAT,AN,AN,"Cannula, Nasal, Oxygen",1,,0,0,,868.534,510(K) Exempt,0,0,1
CAW,AN,AN,"Generator, Oxygen, Portable",2,,0,1,,868.544,510(K),0,0,1
CAX,AN,AN,"Flowmeter, Tube, Thorpe, Back-Pressure Compensated",1,,0,0,,868.234,510(K) Exempt,0,0,1
CAZ,AN,AN,Anesthesia Conduction Kit,2,,0,1,,868.514,510(K),0,0,1
CBA,AN,AN,"Monitor, Air Embolism, Ultrasonic",2,,0,1,,868.2025,510(K),0,0,1
CBC,HO,HO,"Bottle, Collection And Trap, Breathing System (Uncalibrated)",2,,0,0,,880.674,510(K) Exempt,0,0,1
CBD,HO,HO,"Bottle, Collection, Breathing System (Calibrated)",2,,0,0,,880.674,510(K) Exempt,0,0,1
CBF,AN,AN,"Chamber, Hyperbaric",2,,0,1,,868.547,510(K),0,1,1
CBG,AN,AN,"Spreader, Cuff",1,,1,0,,868.576,510(K) Exempt,0,0,1
CBH,AN,AN,"Device, Fixation, Tracheal Tube",1,,0,0,,868.577,510(K) Exempt,0,0,1
CBI,AN,AN,"Tube, Tracheal/Bronchial, Differential Ventilation (W/Wo Connector)",2,,0,0,,868.574,510(K),0,1,1
CBK,AN,AN,"Ventilator, Continuous, Facility Use",2,,0,0,,868.5895,510(K),0,1,0
CBL,AN,AN,"Absorbent, Carbon-Dioxide",1,,0,0,,868.53,510(K) Exempt,0,0,1
CBN,AN,AN,"Apparatus, Gas-Scavenging",2,,0,1,,868.543,510(K),0,0,1
CBO,AN,AN,"Attachment, Intermittent Mandatory Ventilation (Imv)",2,,0,0,,868.5955,510(K),0,1,1
CBP,AN,AN,"Valve, Non-Rebreathing",2,,0,1,,868.587,510(K),0,1,1
CBQ,AN,AN,"Analyzer, Gas, Enflurane, Gaseous-Phase (Anesthetic Concentration)",2,,0,1,,868.15,510(K),0,0,1
CBR,AN,AN,"Analyzer, Gas, Nitrous-Oxide, Gaseous Phase (Anesthetic Conc.)",2,,0,1,,868.17,510(K),0,0,1
CBS,AN,AN,"Analyzer, Gas, Halothane, Gaseous-Phase (Anesthetic Conc.)",2,,0,1,,868.162,510(K),0,0,1
CBT,AN,AN,Arterial Blood Sampling Kit,1,,0,0,,868.11,Enforcement Discretion,0,0,1
CBZ,AN,AN,"Analyzer, Ion, Hydrogen-Ion (Ph), Blood-Phase, Indwelling",2,,0,1,,868.117,510(K),0,0,1
CCC,AN,AN,"Analyzer, Gas, Carbon-Dioxide, Partial Pressure, Blood-Phase, Indwelling",2,,0,1,,868.115,510(K),0,0,1
CCE,AN,AN,"Analyzer, Gas, Oxygen, Partial Pressure, Blood-Phase, Indwelling",2,,0,1,,868.12,510(K),0,0,1
CCI,AN,AN,"Analyzer, Gas, Nitrogen, Gaseous-Phase",2,,0,1,,868.169,510(K),0,0,1
CCJ,AN,AN,"Analyzer, Gas, Carbon-Monoxide, Gaseous-Phase",2,,0,1,,868.143,510(K),0,0,1
CCK,AN,AN,"Analyzer, Gas, Carbon-Dioxide, Gaseous-Phase",2,,0,1,,868.14,510(K),0,0,1
CCL,AN,AN,"Analyzer, Gas, Oxygen, Gaseous-Phase",2,,0,1,,868.172,510(K),0,0,1
CCM,AN,AN,"Plethysmograph, Pressure",2,,0,1,,868.175,510(K),0,0,1
CCN,AN,AN,"Flowmeter, Nonback-Pressure Compensated, Bourdon Gauge",1,,0,0,,868.23,510(K) Exempt,0,0,1
CCO,AN,AN,"Bed, Rocking, Breathing Assist",2,,0,0,,868.518,510(K) Exempt,0,1,1
CCQ,AN,AN,"Nebulizer, Medicinal, Non-Ventilatory (Atomizer)",1,,0,0,,868.564,510(K) Exempt,0,0,1
CCT,AN,AN,"Applicator (Laryngo-Tracheal), Topical Anesthesia",2,,0,1,,868.517,510(K),0,0,1
CCW,AN,AN,"Laryngoscope, Rigid",1,,0,0,,868.554,510(K) Exempt,0,0,1
CCX,AN,AN,"Support, Patient Position",1,,0,0,,868.682,510(K) Exempt,0,0,1
CCY,CH,CH,"Zimmerman (Spectrophotometric), 17-Ketosteroids",1,,0,0,,862.143,510(K) Exempt,0,0,1
CCZ,CH,CH,"Zimmerman/Norymberski, 17-Ketogenic Steroids",1,,0,0,,862.1385,510(K) Exempt,0,0,1
CDA,CH,CH,"Acid, Nitrous And Nitrosonaphthol, 5-Hydroxyindole Acetic Acid/Serotonin",1,,0,0,,862.139,510(K) Exempt,0,0,1
CDB,CH,CH,"Porter Silber Hydrazone, 17-Hydroxycorticosteroids",1,,0,0,,862.1385,510(K) Exempt,0,0,1
CDC,CH,CH,"L-Leucyl B-Naphthylamide, Leucine Aminopeptidase",1,,0,0,,862.146,510(K) Exempt,0,0,1
CDD,CH,CH,"Radioassay, Vitamin B12",2,,0,1,,862.181,510(K),0,0,1
CDE,CH,CH,"Chromatographic Separation/Zimmerman, 17-Ketosteroids",1,,0,0,,862.143,510(K) Exempt,0,0,1
CDF,CH,CH,"Acid, Vanilmandelic, Diazo, P-Nitroaniline/Vanillin",1,,0,0,,862.1795,510(K) Exempt,0,0,1
CDG,CH,CH,Chromatography Separation/Zimmerman 17-Ketogenic Steroids,1,,0,0,,862.1385,510(K) Exempt,0,0,1
CDH,CH,CH,"Acid, Uric, Phosphotungstate Reduction",1,,0,0,,862.1775,510(K) Exempt,0,0,1
CDK,CH,CH,"Acid, Vanilmandelic, Electrophoretic Separation",1,,0,0,,862.1795,510(K) Exempt,0,0,1
CDL,CH,CH,"Berthelot Indophenol, Urea Nitrogen",2,,0,1,,862.177,510(K),0,0,1
CDM,CH,CH,"Diazonium Colorimetry, Urobilinogen (Urinary, Non-Quant.)",1,,0,0,,862.1785,510(K) Exempt,0,0,1
CDN,CH,CH,"Urease, Photometric, Urea Nitrogen",2,,0,1,,862.177,510(K),0,0,1
CDO,CH,CH,"Acid, Uric, Uricase (U.V.)",1,,0,0,,862.1775,510(K) Exempt,0,0,1
CDP,CH,CH,"Radioimmunoassay, Total Triiodothyronine",2,,0,0,,862.171,510(K) Exempt,0,0,1
CDQ,CH,CH,"Urease And Glutamic Dehydrogenase, Urea Nitrogen",2,,0,1,,862.177,510(K),0,0,1
CDR,CH,CH,"1-Nitroso-2-Naphthol (Fluorometric), Free Tyrosine",1,,0,1,,862.173,510(K),0,0,1
CDS,CH,CH,"Electrode, Ion Specific, Urea Nitrogen",2,,0,1,,862.177,510(K),0,0,1
CDT,CH,CH,"Lipase Hydrolysis/Glycerol Kinase Enzyme, Triglycerides",1,,0,0,,862.1705,510(K) Exempt,0,0,1
CDW,CH,CH,"Diacetyl-Monoxime, Urea Nitrogen",2,,0,1,,862.177,510(K),0,0,1
CDX,CH,CH,"Radioimmunoassay, Total Thyroxine",2,,0,0,,862.17,510(K) Exempt,0,0,1
CDZ,CH,CH,"Radioimmunoassay, Testosterones And Dihydrotestosterone",1,,0,1,,862.168,510(K),0,0,1
CEA,CH,CH,Tlc Chromatographic Separation Triglycerides,1,,0,0,,862.1705,510(K) Exempt,0,0,1
CEC,CH,CH,"Radioimmunoassay, Free Thyroxine",2,,0,1,,862.1695,510(K),0,0,1
CED,CH,CH,"5-Amp-Phosphate Release (Colorimetric Test), 5'-Nucleotidase",1,,0,0,,862.152,510(K) Exempt,0,0,1
CEE,CH,CH,"Radioimmunoassay, Thyroxine-Binding Globulin",2,,0,0,,862.1685,510(K) Exempt,0,0,1
CEF,CH,CH,"Electrophoretic, Protein Fractionation",1,,0,0,,862.163,510(K) Exempt,0,0,1
CEI,CH,CH,"Uranyl Acetate/Zinc Acetate, Sodium",2,,0,1,,862.1665,510(K),0,0,1
CEJ,CH,CH,"Tetraphenyl Borate, Colorimetry, Potassium",2,,0,1,,862.16,510(K),0,0,1
CEK,CH,CH,"Biuret (Colorimetric), Total Protein",2,,0,0,,862.1635,510(K) Exempt,0,0,1
CEL,CH,CH,"Ammonium Molybdate And Ammonium Vanadate, Phospholipids",1,,0,0,,862.1575,510(K) Exempt,0,0,1
CEM,CH,CH,"Electrode, Ion Specific, Potassium",2,,0,1,,862.16,510(K),0,0,0
CEN,CH,CH,"Dye-Indicator, Ph (Urinary, Non-Quantitative)",1,,0,0,,862.155,510(K) Exempt,0,0,1
CEO,CH,CH,"Phosphomolybdate (Colorimetric), Inorganic Phosphorus",1,,0,0,,862.158,510(K) Exempt,0,0,1
CEP,CH,CH,"Radioimmunoassay, Luteinizing Hormone",1,,0,0,,862.1485,510(K) Exempt,0,0,1
CEQ,CH,CH,"Molybdenum Blue Method, Phospholipids",1,,0,0,,862.1575,510(K) Exempt,0,0,1
CER,CH,CH,"2,4-Dinitrophenylhydrazine, Lactate Dehydrogenase",2,,0,0,,862.144,510(K) Exempt,0,0,1
CES,CH,CH,"Chromogenesis, Phenylketones (Urinary, Non-Quant.)",1,,0,0,,862.156,510(K) Exempt,0,0,1
CET,CH,CH,"Olive Oil Emulsion (Turbidimetric), Lipase",1,,0,0,,862.1465,510(K) Exempt,0,0,1
CEW,CH,CH,"Radioimmunoassay, Parathyroid Hormone",2,,0,1,,862.1545,510(K),0,0,1
CEX,CH,CH,"Chromatographic Separation, Lactate Dehydrogenase Isoenzymes",2,,0,0,,862.1445,510(K) Exempt,0,0,1
CFA,CH,CH,"Electrode, Ion Specific, Magnesium",1,,0,1,,862.1495,510(K),0,0,1
CFB,CH,CH,"Chromatographic Derivative, Total Lipids",1,,0,0,,862.147,510(K) Exempt,0,0,1
CFD,CH,CH,"Sulfophosphovanillin, Colorimetry, Total Lipids",1,,0,0,,862.147,510(K) Exempt,0,0,1
CFE,CH,CH,"Electrophoretic, Lactate Dehydrogenase Isoenzymes",2,,0,0,,862.1445,510(K) Exempt,0,0,1
CFF,IM,IM,"Immunoelectrophoretic, Immunoglobulins, (G, A, M)",2,,0,1,,866.551,510(K),0,0,1
CFG,CH,CH,"Oil Emulsion/Thymolphthalein (Titrimetric), Lipase",1,,0,0,,862.1465,510(K) Exempt,0,0,1
CFH,CH,CH,"Tetrazolium Int Dye-Diaphorase, Lactate Dehydrogenase",2,,0,0,,862.144,510(K) Exempt,0,0,1
CFJ,CH,CH,"Nad Reduction/Nadh Oxidation, Lactate Dehydrogenase",2,,0,0,,862.144,510(K) Exempt,0,0,1
CFL,CH,CH,"Radioimmunoassay, Human Growth Hormone",1,,0,0,,862.137,510(K) Exempt,0,0,1
CFM,CH,CH,"Bathophenanthroline, Colorimetry, Iron (Non-Heme)",1,,0,0,,862.141,510(K) Exempt,0,0,1
CFN,IM,IM,"Method, Nephelometric, Immunoglobulins (G, A, M)",2,,0,1,,866.551,510(K),0,0,1
CFO,CH,CH,"Titrimetric, Magnesium",1,,0,1,,862.1495,510(K),0,0,1
CFP,CH,CH,"Radioimmunoassay, Immunoreactive Insulin",1,,0,0,,862.1405,510(K) Exempt,0,0,1
CFQ,IM,IM,"Radioimmunoassay, Immunoglobulins (G, A, M)",2,,0,1,,866.551,510(K),0,0,1
CFR,CH,CH,"Hexokinase, Glucose",2,,0,1,,862.1345,510(K),0,0,0
CFT,CH,CH,"Radioimmunoassay, Prolactin (Lactogen)",1,,0,0,,862.1625,510(K) Exempt,0,0,1
CFW,CH,CH,"Copper Reduction, Glucose",2,,0,1,,862.1345,510(K),0,0,0
CGA,CH,CH,"Glucose Oxidase, Glucose",2,,0,1,,862.1345,510(K),0,0,0
CGC,CH,CH,"Radioimmunoassay, Gastrin",1,,0,0,,862.1325,510(K) Exempt,0,0,1
CGD,CH,CH,"Ferricyanide, Glucose",2,,0,1,,862.1345,510(K),0,0,0
CGE,CH,CH,"Orthotoluidine, Glucose",2,,0,1,,862.1345,510(K),0,0,0
CGF,CH,CH,"Radioimmunoassay, Estrone",1,,0,0,,862.128,510(K) Exempt,0,0,1
CGH,CH,CH,"Electrophoretic, Globulin",1,,0,0,,862.133,510(K) Exempt,0,0,1
CGI,CH,CH,"Radioimmunoassay, Estriol",1,,0,0,,862.1265,510(K) Exempt,0,0,1
CGJ,CH,CH,"Radioimmunoassay, Follicle-Stimulating Hormone",1,,0,0,,862.13,510(K) Exempt,0,0,1
CGL,CH,CH,"Electrode, Ion Based, Enzymatic, Creatinine",2,,0,1,,862.1225,510(K),0,0,1
CGM,IM,IM,"Method, Immunodiffusion, Immunoglobulins (G, A, M)",2,,0,1,,866.551,510(K),0,0,1
CGN,CH,CH,"Acid, Folic, Radioimmunoassay",2,,0,1,,862.1295,510(K),0,0,1
CGO,CH,CH,"Lieberman-Burchard/Abell-Kendall, Colorimetric, Cholesterol",1,,0,0,,862.1175,510(K) Exempt,0,0,1
CGR,CH,CH,"Radioimmunoassay, Cortisol",2,,0,1,,862.1205,510(K),0,0,1
CGS,CH,CH,"Nad Reduction/Nadh Oxidation, Cpk Or Isoenzymes",2,,0,1,,862.1215,510(K),0,0,1
CGT,CH,CH,"Radioimmunoassay, Cyclic Gmp",2,,0,1,,862.123,510(K),0,0,1
CGX,CH,CH,"Alkaline Picrate, Colorimetry, Creatinine",2,,0,1,,862.1225,510(K),0,0,1
CGZ,CH,CH,"Electrode, Ion-Specific, Chloride",2,,0,1,,862.117,510(K),0,0,0
CHA,CH,CH,"Radioimmunoassay, Corticosterone",1,,0,0,,862.12,510(K) Exempt,0,0,1
CHC,CH,CH,"Titrimetric Permanganate And Bromophenol Blue, Calcium",2,,0,1,,862.1145,510(K),0,0,1
CHD,CH,CH,"Acid, Ferric Ion-Sulfuric, Cholesterol",1,,0,0,,862.1175,510(K) Exempt,0,0,1
CHE,CH,CH,"Radioimmunoassay, Corticoids",1,,0,0,,862.1195,510(K) Exempt,0,0,1
CHG,CH,CH,"Acid, Phosphoric-Tungstic (Spectrophotometric), Chloride",2,,0,1,,862.117,510(K),0,0,1
CHH,CH,CH,"Enzymatic Esterase--Oxidase, Cholesterol",1,,0,0,,862.1175,510(K) Exempt,0,0,1
CHI,CH,CH,"Lipase-Esterase, Enzymatic, Photometric, Lipase",1,,0,0,,862.1465,510(K) Exempt,0,0,1
CHJ,CH,CH,"Mercuric Thiocyanate, Colorimetry, Chloride",2,,0,1,,862.117,510(K),0,0,1
CHK,CH,CH,"Mercuric Nitrate And Diphenyl Carbazone (Titrimetric), Chloride",2,,0,1,,862.117,510(K),0,0,1
CHL,CH,CH,"Electrode Measurement, Blood-Gases (Pco2, Po2) And Blood Ph",2,,0,1,,862.112,510(K),0,0,0
CHM,CH,CH,"Radioimmunoassay, Total Estrogens In Pregnancy",1,,0,0,,862.127,510(K) Exempt,0,0,1
CHN,IM,IM,"Immunochemical, Ceruloplasmin",2,,0,0,,866.521,510(K) Exempt,0,0,1
CHO,CH,CH,"Radioimmunoassay, Cyclic Amp",2,,0,1,,862.123,510(K),0,0,1
CHP,CH,CH,"Radioimmunoassay, Estradiol",1,,0,0,,862.126,510(K) Exempt,0,0,1
CHQ,CH,CH,"Chromatographic/Fluorometric Method, Catecholamines",1,,0,0,,862.1165,510(K) Exempt,0,0,1
CHR,CH,CH,"Titrimetric Phenol Red, Carbon-Dioxide",2,,0,1,,862.116,510(K),0,0,1
CHS,CH,CH,"Coulometric Method, Carbon-Dioxide",2,,0,1,,862.116,510(K),0,0,1
CHT,CH,CH,"Electrophoretic Method, Catecholamines",1,,0,0,,862.1165,510(K) Exempt,0,0,1
